hole_id,from_depth,to_depth,grade_value,grade_unit
ARDD001,0.0,1.0,10.83,ppm
ARDD001,1.0,2.0,11.91,ppm
ARDD001,2.0,3.0,10.49,ppm
ARDD001,3.0,4.0,4.46,ppm
ARDD001,4.0,5.0,11.81,ppm
ARDD001,5.0,6.0,15.6,ppm
ARDD001,6.0,7.0,2.18,ppm
ARDD001,7.0,8.0,1.73,ppm
ARDD001,8.0,9.0,3.42,ppm
ARDD001,9.0,10.0,1.15,ppm
ARDD001,10.0,11.0,1.34,ppm
ARDD001,11.0,12.0,0.53,ppm
ARDD001,12.0,12.999,0.39,ppm
ARDD001,12.999,14.0,0.45,ppm
ARDD001,14.0,15.0,0.09,ppm
ARDD001,15.0,16.001,0.03,ppm
ARDD001,16.001,17.0,0.04,ppm
ARDD001,17.0,18.0,0.02,ppm
ARDD001,18.0,19.0,0.02,ppm
ARDD001,19.0,20.0,0.02,ppm
ARDD001,20.0,21.0,0.01,ppm
ARDD001,21.0,22.0,0.02,ppm
ARDD001,22.0,23.0,0.01,ppm
ARDD001,23.0,24.0,0.02,ppm
ARDD001,24.0,25.0,0.03,ppm
ARDD001,25.0,26.0,0.01,ppm
ARDD001,26.0,27.0,0.01,ppm
ARDD001,27.0,28.0,0.01,ppm
ARDD001,28.0,29.0,0.01,ppm
ARDD001,29.0,30.0,0.02,ppm
ARDD001,30.0,31.0,0.02,ppm
ARDD001,31.0,32.0,0.02,ppm
ARDD001,32.0,33.0,0.02,ppm
ARDD001,33.0,34.0,0.01,ppm
ARDD001,34.0,35.0,0.01,ppm
ARDD001,35.0,36.0,0.01,ppm
ARDD001,36.0,37.0,0.01,ppm
ARDD001,37.0,38.0,0.02,ppm
ARDD001,38.0,39.0,0.02,ppm
ARDD001,39.0,40.0,0.01,ppm
ARDD001,40.0,41.0,0.01,ppm
ARDD001,41.0,42.0,0.02,ppm
ARDD001,42.0,43.3,0.02,ppm
ARDD001,43.3,44.301,0.001,ppm
ARDD003,0.0,1.0,7.11,ppm
ARDD003,1.0,2.0,2.07,ppm
ARDD003,2.0,3.0,4.48,ppm
ARDD003,3.0,4.0,11.75,ppm
ARDD003,4.0,5.0,1.49,ppm
ARDD003,5.0,6.0,1.05,ppm
ARDD003,6.0,7.0,2.44,ppm
ARDD003,7.0,7.999,2.17,ppm
ARDD003,7.999,9.0,2.03,ppm
ARDD003,9.0,10.0,2.39,ppm
ARDD003,10.0,11.0,2.03,ppm
ARDD003,11.0,12.0,1.11,ppm
ARDD003,12.0,13.0,0.67,ppm
ARDD003,13.0,13.999,0.71,ppm
ARDD003,13.999,15.0,0.66,ppm
ARDD003,15.0,16.0,0.56,ppm
ARDD003,16.0,16.699,0.22,ppm
ARDD003,16.699,17.699,0.15,ppm
ARDD003,17.699,18.7,0.14,ppm
ARDD003,18.7,19.7,0.3,ppm
ARDD003,19.7,20.7,0.1,ppm
ARDD003,20.7,21.799,0.08,ppm
ARDD003,21.799,22.799,0.07,ppm
ARDD003,22.799,23.799,0.09,ppm
ARDD003,23.799,24.799,0.06,ppm
ARDD003,24.799,25.799,0.04,ppm
ARDD003,25.799,26.799,0.04,ppm
ARDD003,26.799,27.799,0.01,ppm
ARDD003,27.799,28.799,0.04,ppm
ARDD003,28.799,29.799,0.02,ppm
ARDD003,29.799,30.799,0.01,ppm
ARDD003,30.799,31.8,0.02,ppm
ARDD003,31.8,32.8,0.01,ppm
ARDD003,32.8,33.8,0.01,ppm
ARDD003,33.8,34.799,0.02,ppm
ARDD003,34.799,35.8,0.02,ppm
ARDD003,35.8,36.799,0.03,ppm
ARDD003,36.799,37.899,0.02,ppm
ARDD001A,0.0,0.701,0.93,ppm
ARDD001A,0.701,1.7,0.11,ppm
ARDD001A,1.7,2.7,0.26,ppm
ARDD001A,2.7,3.701,0.11,ppm
ARDD001A,3.701,4.7,0.1,ppm
ARDD001A,4.7,5.7,0.23,ppm
ARDD001A,5.7,6.7,0.28,ppm
ARDD001A,6.7,7.7,0.28,ppm
ARDD001A,7.7,8.7,0.12,ppm
ARDD001A,8.7,9.7,0.36,ppm
ARDD001A,9.7,10.7,0.08,ppm
ARDD001A,10.7,11.701,0.05,ppm
ARDD001A,11.701,12.7,0.05,ppm
ARDD001A,12.7,13.7,0.05,ppm
ARDD001A,13.7,14.701,0.07,ppm
ARDD001A,14.701,15.7,0.09,ppm
ARDD001A,15.7,16.7,0.06,ppm
ARDD001A,16.7,17.7,0.09,ppm
ARDD001A,17.7,18.701,0.09,ppm
ARDD001A,18.701,19.701,0.01,ppm
ARDD001A,19.701,20.701,0.04,ppm
ARDD001A,20.701,21.7,0.04,ppm
ARDD001A,21.7,22.7,0.04,ppm
ARDD001A,22.7,23.7,0.02,ppm
ARDD001A,23.7,24.699,0.03,ppm
ARDD001A,24.699,25.7,0.03,ppm
ARDD001A,25.7,26.7,0.04,ppm
ARDD001A,26.7,27.7,0.04,ppm
ARDD001A,27.7,28.7,0.03,ppm
ARDD001A,28.7,29.7,0.03,ppm
ARDD001A,29.7,30.701,0.04,ppm
ARDD001A,30.701,31.7,0.03,ppm
