hole_id,depth,dip,azimuth
ARDD001,0.0,-49.994,122.034
ARDD001,1.0,-49.994,122.034
ARDD001,2.0,-50.017,121.958
ARDD001,3.0,-49.994,122.034
ARDD001,4.0,-49.994,122.034
ARDD001,5.0,-49.98,121.911
ARDD001,6.0,-49.994,122.034
ARDD001,7.0,-49.994,122.034
ARDD001,8.0,-49.994,122.034
ARDD001,9.0,-49.994,122.034
ARDD001,10.0,-50.017,121.958
ARDD001,11.0,-49.994,122.034
ARDD001,12.0,-50.017,121.958
ARDD001,12.999,-50.017,121.958
ARDD001,14.0,-50.031,122.034
ARDD001,15.0,-49.994,122.034
ARDD001,16.001,-49.957,121.987
ARDD001,17.0,-50.017,121.958
ARDD001,18.0,-49.994,122.034
ARDD001,19.0,-49.994,122.034
ARDD001,20.0,-50.017,121.958
ARDD001,21.0,-49.994,122.034
ARDD001,22.0,-49.994,122.034
ARDD001,23.0,-50.017,121.958
ARDD001,24.0,-49.957,121.987
ARDD001,25.0,-50.017,121.958
ARDD001,26.0,-50.017,121.958
ARDD001,27.0,-49.994,122.034
ARDD001,28.0,-50.017,121.958
ARDD001,29.0,-49.994,122.034
ARDD001,30.0,-49.98,121.911
ARDD001,31.0,-49.994,122.034
ARDD001,32.0,-49.994,122.034
ARDD001,33.0,-50.054,121.958
ARDD001,34.0,-49.994,122.034
ARDD001,35.0,-49.994,122.034
ARDD001,36.0,-50.017,121.958
ARDD001,37.0,-49.994,122.034
ARDD001,38.0,-50.017,121.958
ARDD001,39.0,-49.957,121.987
ARDD001,40.0,-49.994,122.034
ARDD001,41.0,-50.017,121.958
ARDD001,42.0,-49.994,122.034
ARDD001,43.3,-49.991,121.998
ARDD001,44.301,-49.994,122.034
ARDD003,0.0,-50.017,121.958
ARDD003,1.0,-50.017,121.958
ARDD003,2.0,-49.994,122.034
ARDD003,3.0,-49.957,121.987
ARDD003,4.0,-50.017,121.958
ARDD003,5.0,-49.994,122.034
ARDD003,6.0,-50.017,121.958
ARDD003,7.0,-49.994,122.034
ARDD003,7.999,-50.017,121.958
ARDD003,9.0,-49.957,121.987
ARDD003,10.0,-50.017,121.958
ARDD003,11.0,-49.994,122.034
ARDD003,12.0,-49.994,122.034
ARDD003,13.0,-49.994,122.034
ARDD003,13.999,-50.017,121.958
ARDD003,15.0,-49.994,122.034
ARDD003,16.0,-49.994,122.034
ARDD003,16.699,-49.98,121.924
ARDD003,17.699,-50.017,121.958
ARDD003,18.7,-50.031,122.034
ARDD003,19.7,-50.017,121.958
ARDD003,20.7,-49.994,122.034
ARDD003,21.799,-49.993,122.048
ARDD003,22.799,-49.98,121.911
ARDD003,23.799,-49.994,122.034
ARDD003,24.799,-49.994,122.034
ARDD003,25.799,-49.994,122.034
ARDD003,26.799,-50.017,121.958
ARDD003,27.799,-49.994,122.034
ARDD003,28.799,-49.98,121.911
ARDD003,29.799,-49.994,122.034
ARDD003,30.799,-49.994,122.034
ARDD003,31.8,-50.054,121.958
ARDD003,32.8,-49.994,122.034
ARDD003,33.8,-49.994,122.034
ARDD003,34.799,-50.017,121.958
ARDD003,35.8,-49.994,122.034
ARDD003,36.799,-50.017,121.958
ARDD003,37.899,-49.959,122.005
ARDD001A,0.0,-50.042,49.868
ARDD001A,0.701,-50.042,49.868
ARDD001A,1.7,-50.017,49.989
ARDD001A,2.7,-49.989,49.921
ARDD001A,3.701,-49.983,50.046
ARDD001A,4.7,-50.017,49.989
ARDD001A,5.7,-50.017,49.989
ARDD001A,6.7,-50.017,49.989
ARDD001A,7.7,-49.983,50.046
ARDD001A,8.7,-50.017,49.989
ARDD001A,9.7,-49.983,50.046
ARDD001A,10.7,-49.983,50.046
ARDD001A,11.701,-49.955,49.978
ARDD001A,12.7,-50.017,49.989
ARDD001A,13.7,-49.983,50.046
ARDD001A,14.701,-49.983,50.046
ARDD001A,15.7,-50.017,49.989
ARDD001A,16.7,-49.983,50.046
ARDD001A,17.7,-50.017,49.989
ARDD001A,18.701,-49.955,49.978
ARDD001A,19.701,-49.983,50.046
ARDD001A,20.701,-50.017,49.989
ARDD001A,21.7,-50.017,49.989
ARDD001A,22.7,-50.017,49.989
ARDD001A,23.7,-50.017,49.989
ARDD001A,24.699,-50.017,49.989
ARDD001A,25.7,-50.02,50.046
ARDD001A,26.7,-49.989,49.921
ARDD001A,27.7,-50.017,49.989
ARDD001A,28.7,-49.983,50.046
ARDD001A,29.7,-49.989,49.921
ARDD001A,30.701,-49.983,50.046
ARDD001A,31.7,-50.017,49.989
